START BATCH CODE;START EVENT MONTH;START EVENT CALENDAR WEEK;END BATCH CODE;MATERIAL;END TIME;END EVENT MONTH;END EVENT CALENDAR WEEK;YEAR WEEK;CYCLE TIME;TARGET CYCLE TIME
S0301;7;27;E0301;PRODUCT T;2023-01-11;1;2;2023 - W2;194;100
S0302;4;15;E0302;PRODUCT T;2023-01-06;1;1;2023 - W1;276;100
S0303;9;38;E0303;PRODUCT C;2023-01-12;1;2;2023 - W2;117;100
S0304;6;25;E0304;PRODUCT C;2023-01-11;1;2;2023 - W2;211;100
S0305;6;24;E0305;PRODUCT N;2023-01-11;1;2;2023 - W2;216;100
S0306;12;51;E0306;PRODUCT T;2023-01-11;1;2;2023 - W2;388;100
S0307;11;45;E0307;PRODUCT M;2023-01-10;1;2;2023 - W2;65;100
S0308;11;45;E0308;PRODUCT M;2023-01-10;1;2;2023 - W2;65;100
S0309;10;41;E0309;PRODUCT TH;2023-01-06;1;1;2023 - W1;90;100
S0310;10;41;E0310;PRODUCT TH;2023-01-10;1;2;2023 - W2;94;100
S0311;10;41;E0311;PRODUCT TH;2023-01-10;1;2;2023 - W2;94;100
S0312;10;41;E0312;PRODUCT TH;2023-01-09;1;2;2023 - W2;93;100
S0313;10;41;E0313;PRODUCT TH;2023-01-10;1;2;2023 - W2;94;100
S0314;10;41;E0314;PRODUCT TH;2023-01-10;1;2;2023 - W2;94;100
S0315;10;41;E0315;PRODUCT TH;2023-01-11;1;2;2023 - W2;95;100
S0316;4;17;E0316;PRODUCT N;2023-01-11;1;2;2023 - W2;628;100
S0317;8;34;E0317;PRODUCT N;2023-01-11;1;2;2023 - W2;508;100
S0318;10;41;E0318;PRODUCT TH;2023-01-12;1;2;2023 - W2;96;100
S0319;10;41;E0319;PRODUCT TH;2023-01-11;1;2;2023 - W2;95;100
